"","NestID","ActiveDate","ActiveTime","ActiveDateTime","FailDate","FailTime","FailDateTime","CollectDate","CollectTime","CollectDateTime","ElapsedTime","ElapsedDays","StudySite","Pasture","UTMzone","Easting_DNA","Northing_DNA","Comments","DNA_Type","DistFromNest","Barcode","Corvid_Allele1","Corvid_Allele1_Height","Corvid_Allele2","Corvid_Allele2_Height","SID_Allele1","SID_Allele1_Height","SID_Allele2","SID_Allele2_Height","SID_Allele3","SID_Allele3_Height","Detect_Total","Detect","NestFate","Precip","tmean","tmax","tmin"
"1","F1479N1_20","5/14/20","10:55","5/14/20 10:55","5/18/20",10:02:00,NA,"5/18/20",10:35:00,"5/18/20",3.99,4,"JISA","Sheep Mountain North",12,298985,4671704,NA,"Swab",0,"2ZZV6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0.51,9.04,15.42,2.69
"2","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:35:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685093,4665940,NA,"Swab",1,"2YZYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",7.96,7.43,11.85,3.02
"3","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:33:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665941,NA,"Swab",1,"2YZYO","Raven",10341,"Raven",10594,"Coyote",1010,"Coyote",1962,NA,NA,4,1,"Failed",7.96,7.43,11.85,3.02
"4","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:33:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665940,NA,"Swab",2,"2YZYW","Raven",10317,"Raven",10128,"Coyote",1329,NA,NA,NA,NA,3,1,"Failed",7.96,7.43,11.85,3.02
"5","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:30:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665941,NA,"Swab",1,"2YZZ3","Raven",11366,"Raven",237,"Coyote",687,"Coyote",1701,NA,NA,4,1,"Failed",7.96,7.43,11.85,3.02
"6","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:32:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665941,NA,"Swab",1,"2YZZ4","Raven",10959,"Raven",11078,NA,NA,NA,NA,NA,NA,2,1,"Failed",7.96,7.43,11.85,3.02
"7","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:30:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665941,NA,"Swab",1,"2YZZC",NA,NA,NA,NA,"Coyote",407,NA,NA,NA,NA,1,1,"Failed",7.96,7.43,11.85,3.02
"8","F5209N1_20","5/20/20","9:57","5/20/20 9:57","5/23/20",08:35:00,NA,"5/23/20",09:34:00,"5/23/20",2.98,3,"BRBE","Corral Creek East",11,685092,4665941,NA,"Swab",1,"2YZZG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",7.96,7.43,11.85,3.02
"9","F5213N1_20","5/18/20","10:52","5/18/20 10:52","5/20/20",10:00:00,NA,"5/21/20",15:30:00,"5/21/20",3.19,3,"PAVA","West River Flat North",12,284581,4910276,NA,"EggShells",0,"2XZWQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",1.02,11.19,18.67,3.75
"10","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZVN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"11","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"12","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZVX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"13","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZWB",NA,NA,NA,NA,"Coyote",3458,"Coyote",3367,NA,NA,2,1,"Failed",0,12.35,22.5,1.78
"14","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZWL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"15","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZWT",NA,NA,NA,NA,"Coyote",786,"Coyote",1154,NA,NA,2,1,"Failed",0,12.35,22.5,1.78
